C2min_1,C2min_2,C2min_3,C2pls_1,C2pls_2,C2pls_3,Score,Intensity,MS/MS count,Description,Fasta headers,Protein IDs,Majority protein IDs
26.2868,26.3553,26.1809,25.919,25.862,25.8933,88.739,8.64539,65,"profilin, putative","0932200.1  0932200 profilin, putative  profilin, putative  Pf3D7_09_v3:1287008-1288372(+)  171",PF3D7_0932200,PF3D7_0932200
22.6731,22.8593,22.7772,22.0611,22.5522,22.571,28.198,7.59941,23,"26S proteasome regulatory subunit RPN9, putative","1030500.1  1030500 26S proteasome regulatory subunit RPN9, putative  26S proteasome regulatory subunit RPN9, putative  Pf3D7_10_v3:1244215-1245396(+)  393",PF3D7_1030500,PF3D7_1030500
21.5233,21.5882,21.1906,20.888,21.3802,20.9663,3.4291,7.19662,9,superoxide dismutase [Fe],0814900.1  0814900 superoxide dismutase [Fe]  superoxide dismutase [Fe]  Pf3D7_08_v3:708228-708824(+)  198,PF3D7_0814900,PF3D7_0814900
25.9981,25.9765,26.0396,25.6589,25.6222,25.6796,120.54,8.56848,76,DNA/RNA-binding protein Alba 4,1347500.1  1347500 DNA/RNA-binding protein Alba 4  DNA/RNA-binding protein Alba 4  Pf3D7_13_v3:1897983-1899362(-)  372,PF3D7_1347500,PF3D7_1347500
23.6021,23.5359,23.725,23.3716,23.2014,23.2624,48.98,7.87084,39,actin-depolymerizing factor 1,0503400.1  0503400 actin-depolymerizing factor 1  actin-depolymerizing factor 1  Pf3D7_05_v3:140710-141471(+)  122,PF3D7_0503400,PF3D7_0503400
23.2132,23.1673,23.175,22.7335,22.9754,22.8302,26.824,7.72192,24,40S ribosomal protein S5,1447000.1  1447000 40S ribosomal protein S5  40S ribosomal protein S5  Pf3D7_14_v3:1929931-1931379(+)  272,PF3D7_1447000,PF3D7_1447000
24.7763,24.7726,24.6439,24.3708,24.3126,24.5107,214.67,8.19181,61,rhoptry-associated protein 2,0501600.1  0501600 rhoptry-associated protein 2  rhoptry-associated protein 2  Pf3D7_05_v3:84041-85237(-)  398,PF3D7_0501600,PF3D7_0501600
27.1773,27.1489,27.2758,26.8522,26.8204,26.9441,278.56,8.92401,88,"proteasome subunit alpha type-1, putative","1474800.1  1474800 proteasome subunit alpha type-1, putative  proteasome subunit alpha type-1, putative  Pf3D7_14_v3:3067562-3068692(+)  254",PF3D7_1474800,PF3D7_1474800
23.775,23.8773,23.9262,23.4234,23.4848,23.6954,64.884,7.92522,27,"proteasome subunit beta type-7, putative","1328100.1  1328100 proteasome subunit beta type-7, putative  proteasome subunit beta type-7, putative  Pf3D7_13_v3:1184208-1185020(+)  270",PF3D7_1328100,PF3D7_1328100
23.4527,23.2656,23.3037,23.1057,23.1511,22.7919,20.167,7.77374,24,protein SIS1,0213100.1  0213100 protein SIS1  protein SIS1  Pf3D7_02_v3:537789-539420(+)  328,PF3D7_0213100,PF3D7_0213100
24.3739,24.4185,24.334,23.9114,24.1355,24.1139,34.804,8.08817,43,"DnaJ protein, putative","1401100.1  1401100 DnaJ protein, putative  DnaJ protein, putative  Pf3D7_14_v3:41289-43093(-)  492",PF3D7_1401100,PF3D7_1401100
23.708,23.8313,23.8754,23.6637,23.512,23.3015,24.004,7.91586,25,"proteasome subunit alpha type-3, putative","0317000.1  0317000 proteasome subunit alpha type-3, putative  proteasome subunit alpha type-3, putative  Pf3D7_03_v3:682795-683685(-)  252",PF3D7_0317000,PF3D7_0317000
19.7572,20.1168,20.097,20.6672,19.0063,19.3648,2.136,6.83225,4,"zinc finger protein, putative","1344300.1  1344300 zinc finger protein, putative  zinc finger protein, putative  Pf3D7_13_v3:1774275-1779042(-)  1426",PF3D7_1344300,PF3D7_1344300
22.5821,22.7209,22.7844,22.3622,22.3121,22.4845,18.018,7.57983,17,"Plasmodium exported protein, unknown function","1353100.1  1353100 Plasmodium exported protein, unknown function  Plasmodium exported protein, unknown function  Pf3D7_13_v3:2124272-2125270(-)  285",PF3D7_1353100,PF3D7_1353100
23.8926,23.928,23.8647,23.5655,23.632,23.5807,36.396,7.92847,36,"Plasmodium exported protein (PHISTb), unknown function","0424600.1  0424600 Plasmodium exported protein (PHISTb), unknown function  Plasmodium exported protein (PHISTb), unknown function  Pf3D7_04_v3:1113345-1114486(-)  309",PF3D7_0424600,PF3D7_0424600
24.907,24.6596,24.7321,24.5693,24.4243,24.3986,29.679,8.20485,49,"conserved protein, unknown function","1427900.1  1427900 conserved protein, unknown function  conserved protein, unknown function  Pf3D7_14_v3:1092936-1093781(+)  281",PF3D7_1427900,PF3D7_1427900
24.8899,24.8592,24.9426,24.5714,24.6872,24.5289,323.31,8.24706,98,"proteasome subunit alpha type-6, putative","0807500.1  0807500 proteasome subunit alpha type-6, putative  proteasome subunit alpha type-6, putative  Pf3D7_08_v3:387219-388364(+)  260",PF3D7_0807500,PF3D7_0807500
20.4496,20.5522,20.5418,20.7562,20.7946,19.0897,3.8746,6.9629,7,"tRNA nucleotidyltransferase, putative","1120500.1  1120500 tRNA nucleotidyltransferase, putative  tRNA nucleotidyltransferase, putative  Pf3D7_11_v3:772539-775042(+)  791",PF3D7_1120500,PF3D7_1120500
25.9656,26.0731,25.9771,25.7636,25.7145,25.6461,149.98,8.58452,118,receptor for activated c kinase,0826700.1  0826700 receptor for activated c kinase  receptor for activated c kinase  Pf3D7_08_v3:1160164-1161708(-)  323,PF3D7_0826700,PF3D7_0826700
28.0307,28.1109,28.0435,27.7586,27.8171,27.7277,194.79,9.20385,243,hypoxanthine-guanine phosphoribosyltransferase,1012400.1  1012400 hypoxanthine-guanine phosphoribosyltransferase  hypoxanthine-guanine phosphoribosyltransferase  Pf3D7_10_v3:475327-476563(-)  231,PF3D7_1012400,PF3D7_1012400
21.2687,21.1384,21.0987,20.9152,20.8489,20.8697,4.0338,7.12476,9,"translation initiation factor eIF-1A, putative","1143400.1  1143400 translation initiation factor eIF-1A, putative  translation initiation factor eIF-1A, putative  Pf3D7_11_v3:1735126-1736572(+)  155",PF3D7_1143400,PF3D7_1143400
26.2903,26.3267,26.2766,26.0585,25.9134,26.0644,123.34,8.66948,130,"6-phosphogluconate dehydrogenase, decarboxylating, putative","1454700.1  1454700 6-phosphogluconate dehydrogenase, decarboxylating, putative  6-phosphogluconate dehydrogenase, decarboxylating, putative  Pf3D7_14_v3:2241433-2242839(+)  468",PF3D7_1454700,PF3D7_1454700
21.7331,21.6661,21.373,21.4195,21.2871,21.2243,12.963,7.26005,15,"nucleic acid binding protein, putative","1132300.1  1132300 nucleic acid binding protein, putative  nucleic acid binding protein, putative  Pf3D7_11_v3:1253073-1253894(+)  273",PF3D7_1132300,PF3D7_1132300
22.2636,22.0962,21.9456,22.1912,21.7522,21.568,7.6542,7.40632,11,choline kinase,1401800.1  1401800 choline kinase  choline kinase  Pf3D7_14_v3:71368-72690(+)  440,PF3D7_1401800,PF3D7_1401800
23.8006,23.7988,23.7275,23.3785,23.5998,23.5559,12.187,7.91179,31,"inorganic pyrophosphatase, putative","0316300.1  0316300 inorganic pyrophosphatase, putative  inorganic pyrophosphatase, putative  Pf3D7_03_v3:660020-661643(+)  380;0316300.2  0316300 inorganic pyrophosphatase, putative  inorganic pyrophosphatase, putative  Pf3D7_03_v3:658272-661643(+)  431",PF3D7_0316300;PF3D7_0316300.2,PF3D7_0316300;PF3D7_0316300.2
22.5737,22.498,22.6859,22.3352,22.266,22.3681,7.1162,7.54964,14,"nucleoside diphosphate hydrolase, putative","1349100.1  1349100 nucleoside diphosphate hydrolase, putative  nucleoside diphosphate hydrolase, putative  Pf3D7_13_v3:1969769-1970752(-)  196",PF3D7_1349100,PF3D7_1349100
24.8491,24.9014,25.0472,24.7707,24.7855,24.4636,29.542,8.259,46,"26S protease regulatory subunit 10B, putative","1306400.1  1306400 26S protease regulatory subunit 10B, putative  26S protease regulatory subunit 10B, putative  Pf3D7_13_v3:297178-298359(-)  393",PF3D7_1306400,PF3D7_1306400
22.8233,22.9425,22.8527,22.4847,22.6427,22.7306,30.214,7.64085,41,PRE-binding protein,1011800.1  1011800 PRE-binding protein  PRE-binding protein  Pf3D7_10_v3:455398-458817(+)  1139,PF3D7_1011800,PF3D7_1011800
22.687,22.737,22.7714,22.6185,22.4114,22.4151,18.013,7.59586,22,glutaredoxin-like protein,0606900.1  0606900 glutaredoxin-like protein  glutaredoxin-like protein  Pf3D7_06_v3:290426-291085(-)  219,PF3D7_0606900,PF3D7_0606900
22.8827,22.8446,22.8145,22.6281,22.6155,22.5554,22.287,7.63003,19,merozoite surface protein 7,1335100.1  1335100 merozoite surface protein 7  merozoite surface protein 7  Pf3D7_13_v3:1419086-1420141(-)  351,PF3D7_1335100,PF3D7_1335100
27.6429,27.6077,27.6278,27.4158,27.3738,27.3516,93.51,9.07697,185,adenosine deaminase,1029600.1  1029600 adenosine deaminase  adenosine deaminase  Pf3D7_10_v3:1206302-1207405(+)  367,PF3D7_1029600,PF3D7_1029600
22.4608,22.6367,22.5174,22.2317,22.2066,22.443,40.942,7.53953,22,plasmepsin IV,1407800.1  1407800 plasmepsin IV  plasmepsin IV  Pf3D7_14_v3:283086-284435(+)  449,PF3D7_1407800,PF3D7_1407800
22.6642,22.7405,22.8088,22.4546,22.5991,22.4379,32.525,7.6013,22,"prefoldin subunit 3, putative","0718500.1  0718500 prefoldin subunit 3, putative  prefoldin subunit 3, putative  Pf3D7_07_v3:824445-825884(+)  192",PF3D7_0718500,PF3D7_0718500
20.8802,21.1839,21.2613,20.9565,20.877,20.7822,3.8941,7.11025,11,"serine/threonine protein phosphatase CPPED1, putative","1403900.1  1403900 serine/threonine protein phosphatase CPPED1, putative  serine/threonine protein phosphatase CPPED1, putative  Pf3D7_14_v3:142242-143138(-)  298",PF3D7_1403900,PF3D7_1403900
22.4524,22.3264,22.2907,22.2653,22.2829,21.8216,12.69,7.48746,15,"V-type proton ATPase subunit C, putative","0106100.1  0106100 V-type proton ATPase subunit C, putative  V-type proton ATPase subunit C, putative  Pf3D7_01_v3:260658-261809(-)  383",PF3D7_0106100,PF3D7_0106100
23.4649,23.2897,23.3688,23.1198,23.2377,23.0664,10.164,7.7905,24,"casein kinase 2, alpha subunit","1108400.1  1108400 casein kinase 2, alpha subunit  casein kinase 2, alpha subunit  Pf3D7_11_v3:365093-366100(+)  335",PF3D7_1108400,PF3D7_1108400
22.8682,22.9379,22.6768,22.6561,22.6804,22.4477,6.4354,7.63451,19,small GTP-binding protein sar1,0416800.1  0416800 small GTP-binding protein sar1  small GTP-binding protein sar1  Pf3D7_04_v3:729962-731223(+)  192,PF3D7_0416800,PF3D7_0416800
21.4374,21.3132,21.5756,21.4615,21.1795,20.9956,12.097,7.24606,15,"polyadenylate-binding protein-interacting protein 1, putative","1107300.1  1107300 polyadenylate-binding protein-interacting protein 1, putative  polyadenylate-binding protein-interacting protein 1, putative  Pf3D7_11_v3:301283-311287(-)  3334",PF3D7_1107300,PF3D7_1107300
21.438,21.526,21.6628,21.0405,21.3405,21.5592,4.6347,7.23882,14,eukaryotic translation initiation factor 2 subunit beta,1010600.1  1010600 eukaryotic translation initiation factor 2 subunit beta  eukaryotic translation initiation factor 2 subunit beta  Pf3D7_10_v3:420185-421056(-)  222,PF3D7_1010600,PF3D7_1010600
21.9835,22.2275,22.356,21.9663,21.7729,22.1441,22.411,7.43639,19,"ubiquitin-conjugating enzyme, putative","1356300.1  1356300 ubiquitin-conjugating enzyme, putative  ubiquitin-conjugating enzyme, putative  Pf3D7_13_v3:2231883-2233248(+)  202",PF3D7_1356300,PF3D7_1356300
24.7222,24.7141,24.7007,24.563,24.4697,24.4416,45.381,8.19654,66,tyrosine--tRNA ligase,0807900.1  0807900 tyrosine--tRNA ligase  tyrosine--tRNA ligase  Pf3D7_08_v3:402595-404141(+)  373,PF3D7_0807900,PF3D7_0807900
24.4865,24.4177,24.4457,24.1406,24.1435,24.4051,58.275,8.12001,30,"proteasome subunit alpha type-4, putative","1353800.1  1353800 proteasome subunit alpha type-4, putative  proteasome subunit alpha type-4, putative  Pf3D7_13_v3:2151402-2152373(-)  246",PF3D7_1353800,PF3D7_1353800
25.9573,25.9216,25.9516,25.7564,25.6801,25.7394,162.02,8.57271,139,6-cysteine protein,0404900.1  0404900 6-cysteine protein  6-cysteine protein  Pf3D7_04_v3:267244-268380(-)  378,PF3D7_0404900,PF3D7_0404900
23.1903,23.0772,23.1581,23.1234,22.802,22.8477,55.21,7.71938,42,"conserved Plasmodium protein, unknown function","1135400.1  1135400 conserved Plasmodium protein, unknown function  conserved Plasmodium protein, unknown function  Pf3D7_11_v3:1384378-1385115(-)  245",PF3D7_1135400,PF3D7_1135400
22.5699,22.7153,22.8279,22.507,22.5092,22.4575,14.518,7.59313,19,"60S ribosomal protein L35ae, putative","1142600.1  1142600 60S ribosomal protein L35ae, putative  60S ribosomal protein L35ae, putative  Pf3D7_11_v3:1708066-1708679(-)  140",PF3D7_1142600,PF3D7_1142600
28.442,28.4078,28.4118,28.2083,28.2091,28.207,243.75,9.31393,229,GTP-binding nuclear protein RAN/TC4,1117700.1  1117700 GTP-binding nuclear protein RAN/TC4  GTP-binding nuclear protein RAN/TC4  Pf3D7_11_v3:670711-671515(-)  214,PF3D7_1117700,PF3D7_1117700
27.4102,27.4293,27.4379,27.2237,27.2663,27.1507,323.31,9.01941,242,"phosphoglycerate mutase, putative","1120100.1  1120100 phosphoglycerate mutase, putative  phosphoglycerate mutase, putative  Pf3D7_11_v3:761695-762818(+)  250",PF3D7_1120100,PF3D7_1120100
22.4781,22.0613,22.3639,21.7374,21.711,22.8381,12.414,7.48935,8,aminodeoxychorismate lyase,1458400.1  1458400 aminodeoxychorismate lyase  aminodeoxychorismate lyase  Pf3D7_14_v3:2397919-2398869(-)  316,PF3D7_1458400,PF3D7_1458400
23.9044,23.5926,23.6149,23.434,23.5092,23.5527,17.579,7.90536,31,"conserved protein, unknown function","0626700.1  0626700 conserved protein, unknown function  conserved protein, unknown function  Pf3D7_06_v3:1075018-1076136(+)  372",PF3D7_0626700,PF3D7_0626700
25.2474,25.2307,25.2288,24.9463,24.9592,25.1896,115.53,8.36463,73,eukaryotic translation initiation factor 5A,1204300.1  1204300 eukaryotic translation initiation factor 5A  eukaryotic translation initiation factor 5A  Pf3D7_12_v3:205491-205976(-)  161,PF3D7_1204300,PF3D7_1204300
23.0198,22.6984,22.7656,22.7385,22.4004,22.7432,74.78,7.62893,34,"antigen 332, DBL-like protein","1149000.1  1149000 antigen 332, DBL-like protein  antigen 332, DBL-like protein  Pf3D7_11_v3:1950210-1968726(+)  6093",PF3D7_1149000,PF3D7_1149000
25.9574,26.0965,26.0558,25.8589,25.8557,25.7984,135.69,8.5965,102,rab specific GDP dissociation inhibitor,1242800.1  1242800 rab specific GDP dissociation inhibitor  rab specific GDP dissociation inhibitor  Pf3D7_12_v3:1805380-1807356(-)  459,PF3D7_1242800,PF3D7_1242800
22.4636,22.0906,22.1517,22.101,22.0133,21.9963,9.957,7.46111,20,"thioredoxin, putative","1104400.1  1104400 thioredoxin, putative  thioredoxin, putative  Pf3D7_11_v3:196767-198355(+)  424",PF3D7_1104400,PF3D7_1104400
25.7285,25.7066,25.6108,25.4912,25.4275,25.5376,221.75,8.48938,101,"proteasome subunit alpha type-5, putative","0727400.1  0727400 proteasome subunit alpha type-5, putative  proteasome subunit alpha type-5, putative  Pf3D7_07_v3:1162710-1163831(+)  256",PF3D7_0727400,PF3D7_0727400
23.2587,23.0264,23.0001,22.9038,22.9593,22.8534,29.764,7.71599,17,"conserved Plasmodium protein, unknown function","1351800.1  1351800 conserved Plasmodium protein, unknown function  conserved Plasmodium protein, unknown function  Pf3D7_13_v3:2065373-2066409(+)  230;1351800.2  1351800 conserved Plasmodium protein, unknown function  conserved Plasmodium protein, unknow",PF3D7_1351800;PF3D7_1351800.2,PF3D7_1351800;PF3D7_1351800.2
20.5296,20.7499,20.6505,20.7013,20.4961,20.1641,5.0491,6.97755,10,"conserved protein, unknown function","0104500.1  0104500 conserved protein, unknown function  conserved protein, unknown function  Pf3D7_01_v3:204622-205455(-)  277",PF3D7_0104500,PF3D7_0104500
28.5439,28.556,28.5539,28.3861,28.3514,28.3484,188.92,9.35488,214,ornithine aminotransferase,0608800.1  0608800 ornithine aminotransferase  ornithine aminotransferase  Pf3D7_06_v3:362635-363879(+)  414,PF3D7_0608800,PF3D7_0608800
26.4973,26.469,26.4579,26.269,26.3114,26.2888,119.31,8.72965,51,1-cys peroxiredoxin,0802200.1  0802200 1-cys peroxiredoxin  1-cys peroxiredoxin  Pf3D7_08_v3:165416-166078(+)  220,PF3D7_0802200,PF3D7_0802200
24.667,24.7333,24.76,24.4883,24.4874,24.634,323.31,8.20085,35,small exported membrane protein 1,0702400.1  0702400 small exported membrane protein 1  small exported membrane protein 1  Pf3D7_07_v3:101694-102285(+)  123,PF3D7_0702400,PF3D7_0702400
23.0546,22.8568,23.0186,22.7617,22.9379,22.6852,28.286,7.67265,27,"conserved Plasmodium protein, unknown function","1024800.1  1024800 conserved Plasmodium protein, unknown function  conserved Plasmodium protein, unknown function  Pf3D7_10_v3:1034685-1039079(+)  1464",PF3D7_1024800,PF3D7_1024800
26.6101,26.7745,26.5906,26.4206,26.446,26.5663,285.34,8.7875,112,"haloacid dehalogenase-like hydrolase, putative","1226300.1  1226300 haloacid dehalogenase-like hydrolase, putative  haloacid dehalogenase-like hydrolase, putative  Pf3D7_12_v3:1065796-1066683(+)  295",PF3D7_1226300,PF3D7_1226300
20.7254,20.7723,20.403,20.4231,20.4181,20.5225,10.563,6.97835,13,"26S proteasome non-ATPase regulatory subunit 9, putative","0317800.1  0317800 26S proteasome non-ATPase regulatory subunit 9, putative  26S proteasome non-ATPase regulatory subunit 9, putative  Pf3D7_03_v3:738205-738882(-)  225",PF3D7_0317800,PF3D7_0317800
24.3365,24.2209,24.3433,24.1443,24.2101,24.0166,53.203,8.07646,43,coronin,1251200.1  1251200 coronin  coronin  Pf3D7_12_v3:2092087-2094231(+)  602,PF3D7_1251200,PF3D7_1251200
30.3465,30.3459,30.3115,30.1308,30.1738,30.1762,323.31,9.89495,642,phosphoglycerate kinase,0922500.1  0922500 phosphoglycerate kinase  phosphoglycerate kinase  Pf3D7_09_v3:913230-914480(+)  416,PF3D7_0922500,PF3D7_0922500
21.5108,21.5571,21.5393,21.1297,21.4018,21.5543,20.368,7.24768,11,"60S ribosomal protein L24, putative","1309100.1  1309100 60S ribosomal protein L24, putative  60S ribosomal protein L24, putative  Pf3D7_13_v3:418820-420121(+)  162",PF3D7_1309100,PF3D7_1309100
20.3891,20.3194,20.3478,19.9214,20.3261,20.2879,3.9688,6.8884,11,"AP-1 complex subunit sigma, putative","1118100.1  1118100 AP-1 complex subunit sigma, putative  AP-1 complex subunit sigma, putative  Pf3D7_11_v3:687235-687781(+)  155",PF3D7_1118100,PF3D7_1118100
21.2745,21.3831,21.6981,21.1797,21.26,21.3972,5.6123,7.22019,11,coatomer subunit delta,1134800.1  1134800 coatomer subunit delta  coatomer subunit delta  Pf3D7_11_v3:1367186-1368809(+)  487,PF3D7_1134800,PF3D7_1134800
21.5126,21.5844,21.6857,21.6898,21.3518,21.2367,8.4855,7.27105,18,"prefoldin subunit 5, putative","1128100.1  1128100 prefoldin subunit 5, putative  prefoldin subunit 5, putative  Pf3D7_11_v3:1094909-1095931(-)  248",PF3D7_1128100,PF3D7_1128100
23.3754,23.8051,23.7279,23.4822,23.3961,23.5275,115.02,7.87926,19,skeleton-binding protein 1,0501300.1  0501300 skeleton-binding protein 1  skeleton-binding protein 1  Pf3D7_05_v3:68930-70113(+)  337,PF3D7_0501300,PF3D7_0501300
25.0443,25.1146,25.1545,24.9558,24.9696,24.8952,49.969,8.33098,61,"proteasome subunit alpha type-7, putative","1353900.1  1353900 proteasome subunit alpha type-7, putative  proteasome subunit alpha type-7, putative  Pf3D7_13_v3:2154162-2155217(+)  241",PF3D7_1353900,PF3D7_1353900
27.7262,27.7748,27.6828,27.5167,27.5705,27.6136,322.61,9.11591,219,purine nucleoside phosphorylase,0513300.1  0513300 purine nucleoside phosphorylase  purine nucleoside phosphorylase  Pf3D7_05_v3:569182-569919(-)  245,PF3D7_0513300,PF3D7_0513300
24.0502,23.9881,24.1723,23.8412,23.9498,23.9374,14.688,8.01364,18,memo-like protein,0417500.1  0417500 memo-like protein  memo-like protein  Pf3D7_04_v3:777200-779424(-)  296,PF3D7_0417500,PF3D7_0417500
24.6744,24.6178,24.698,24.5043,24.5555,24.4514,32.259,8.18814,36,"glycerol-3-phosphate dehydrogenase, putative","1216200.1  1216200 glycerol-3-phosphate dehydrogenase, putative  glycerol-3-phosphate dehydrogenase, putative  Pf3D7_12_v3:648889-650552(+)  367",PF3D7_1216200,PF3D7_1216200
23.4706,23.5971,23.4191,23.3231,23.4568,23.2355,73.015,7.83723,30,"conserved Plasmodium protein, unknown function","0617200.1  0617200 conserved Plasmodium protein, unknown function  conserved Plasmodium protein, unknown function  Pf3D7_06_v3:717050-718917(+)  446",PF3D7_0617200,PF3D7_0617200
29.2797,29.2836,29.2469,29.1206,29.1337,29.0867,323.31,9.58341,455,S-adenosylmethionine synthetase,0922200.1  0922200 S-adenosylmethionine synthetase  S-adenosylmethionine synthetase  Pf3D7_09_v3:903362-904570(+)  402,PF3D7_0922200,PF3D7_0922200
22.0973,21.9224,21.9682,21.8383,21.7367,21.952,16.478,7.38564,15,"ATP-dependent RNA helicase DDX5, putative","1445900.1  1445900 ATP-dependent RNA helicase DDX5, putative  ATP-dependent RNA helicase DDX5, putative  Pf3D7_14_v3:1885443-1888323(+)  527",PF3D7_1445900,PF3D7_1445900
24.495,24.5972,24.7308,24.5078,24.4065,24.4576,55.074,8.18007,44,pyrroline-5-carboxylate reductase,1357900.1  1357900 pyrroline-5-carboxylate reductase  pyrroline-5-carboxylate reductase  Pf3D7_13_v3:2295637-2297156(+)  262,PF3D7_1357900,PF3D7_1357900
20.9465,21.1059,20.3806,20.8338,20.8651,20.2867,4.2855,7.01887,10,"conserved protein, unknown function","1351100.1  1351100 conserved protein, unknown function  conserved protein, unknown function  Pf3D7_13_v3:2040405-2041555(-)  156",PF3D7_1351100,PF3D7_1351100
23.7031,23.5649,23.5564,23.4527,23.5881,23.3426,30.27,7.88252,41,cytosolic glyoxalase II,0406400.1  0406400 cytosolic glyoxalase II  cytosolic glyoxalase II  Pf3D7_04_v3:332043-333856(+)  263,PF3D7_0406400,PF3D7_0406400
23.1601,22.9648,22.9879,22.9339,22.7827,22.9564,36.373,7.70463,30,"ABC transporter E family member 1, putative","1368200.1  1368200 ABC transporter E family member 1, putative  ABC transporter E family member 1, putative  Pf3D7_13_v3:2713463-2715436(-)  619",PF3D7_1368200,PF3D7_1368200
24.3224,24.124,24.1089,23.9553,24.1295,24.0385,13.618,8.06547,31,"conserved Plasmodium protein, unknown function","0721400.1  0721400 conserved Plasmodium protein, unknown function  conserved Plasmodium protein, unknown function  Pf3D7_07_v3:926692-928028(+)  214",PF3D7_0721400,PF3D7_0721400
25.8251,25.8451,25.7366,25.6436,25.7164,25.6312,141.79,8.53523,70,"CRAL/TRIO domain-containing protein, putative","1127600.1  1127600 CRAL/TRIO domain-containing protein, putative  CRAL/TRIO domain-containing protein, putative  Pf3D7_11_v3:1071752-1073813(+)  297",PF3D7_1127600,PF3D7_1127600
27.7372,27.685,27.7208,27.6006,27.579,27.5643,323.31,9.11388,271,ethanolamine kinase,1124600.1  1124600 ethanolamine kinase  ethanolamine kinase  Pf3D7_11_v3:970105-971376(-)  423,PF3D7_1124600,PF3D7_1124600
26.9932,26.9992,27.0606,26.8991,26.9208,26.8347,277.73,8.91043,153,"elongation factor 1-gamma, putative","1338300.1  1338300 elongation factor 1-gamma, putative  elongation factor 1-gamma, putative  Pf3D7_13_v3:1548692-1550396(+)  411",PF3D7_1338300,PF3D7_1338300
24.3729,24.5203,24.4275,24.2714,24.378,24.277,40.823,8.12646,35,"26S proteasome regulatory subunit RPN3, putative","1338100.1  1338100 26S proteasome regulatory subunit RPN3, putative  26S proteasome regulatory subunit RPN3, putative  Pf3D7_13_v3:1542080-1543981(+)  503",PF3D7_1338100,PF3D7_1338100
24.6752,24.6205,24.5685,24.6038,24.4909,24.3754,44.234,8.17947,55,glycerophosphodiester phosphodiesterase,1406300.1  1406300 glycerophosphodiester phosphodiesterase  glycerophosphodiester phosphodiesterase  Pf3D7_14_v3:228410-229837(+)  475,PF3D7_1406300,PF3D7_1406300
21.6692,21.6795,21.7666,21.6845,21.5615,21.4764,2.5243,7.30153,7,TatD-like deoxyribonuclease,0112000.1  0112000 TatD-like deoxyribonuclease  TatD-like deoxyribonuclease  Pf3D7_01_v3:450831-453118(-)  447,PF3D7_0112000,PF3D7_0112000
29.6222,29.6481,29.5775,29.5349,29.4828,29.4376,323.31,9.68619,305,L-lactate dehydrogenase,1324900.1  1324900 L-lactate dehydrogenase  L-lactate dehydrogenase  Pf3D7_13_v3:1041157-1042107(+)  316,PF3D7_1324900,PF3D7_1324900
23.2199,23.409,23.3052,23.2839,23.1665,23.1025,11.961,7.78477,23,liver stage associated protein 2,0202100.1  0202100 liver stage associated protein 2  liver stage associated protein 2  Pf3D7_02_v3:109564-110580(-)  302,PF3D7_0202100,PF3D7_0202100
21.4751,21.8071,21.562,21.3922,21.5225,21.5538,3.848,7.27602,10,"coatomer subunit epsilon, putative","0808400.1  0808400 coatomer subunit epsilon, putative  coatomer subunit epsilon, putative  Pf3D7_08_v3:423527-424536(+)  278",PF3D7_0808400,PF3D7_0808400
23.712,23.5651,23.5805,23.6625,23.4301,23.3898,44.061,7.89402,38,"UMP-CMP kinase, putative","0111500.1  0111500 UMP-CMP kinase, putative  UMP-CMP kinase, putative  Pf3D7_01_v3:439652-441418(-)  371",PF3D7_0111500,PF3D7_0111500
24.2486,24.0978,24.1984,24.2815,23.985,23.9174,47.973,8.04805,48,malate dehydrogenase,0618500.1  0618500 malate dehydrogenase  malate dehydrogenase  Pf3D7_06_v3:774529-775470(+)  313,PF3D7_0618500,PF3D7_0618500
23.024,22.7569,22.7525,22.8158,22.7323,22.6249,58.332,7.68411,27,adenylosuccinate lyase,0206700.1  0206700 adenylosuccinate lyase  adenylosuccinate lyase  Pf3D7_02_v3:271594-273009(+)  471,PF3D7_0206700,PF3D7_0206700
24.6502,24.4722,24.3325,24.4432,24.3365,24.3167,115.47,8.14286,43,unspecified product,"0730800.2  0730800 Plasmodium exported protein, unknown function, unspecified product  unspecified product  Pf3D7_07_v3:1321306-1322367(+)  293;0730800.1  0730800 Plasmodium exported protein, unknown function, unspecified product  Plasmodium exported pro",PF3D7_0730800.2;PF3D7_0730800,PF3D7_0730800.2;PF3D7_0730800
22.3169,22.509,22.4639,22.4649,22.28,22.1886,8.9623,7.5246,12,"26S proteasome regulatory subunit RPN12, putative","0312300.1  0312300 26S proteasome regulatory subunit RPN12, putative  26S proteasome regulatory subunit RPN12, putative  Pf3D7_03_v3:521969-522883(+)  304",PF3D7_0312300,PF3D7_0312300
24.888,24.8,24.7452,24.7576,24.6575,24.6723,56.643,8.24249,55,"26S protease regulatory subunit 6B, putative","0413600.1  0413600 26S protease regulatory subunit 6B, putative  26S protease regulatory subunit 6B, putative  Pf3D7_04_v3:616914-618350(-)  392",PF3D7_0413600,PF3D7_0413600
23.009,22.8555,22.5951,22.767,22.7023,22.6513,22.285,7.65376,27,"coatamer beta subunit, putative","1429800.1  1429800 coatamer beta subunit, putative  coatamer beta subunit, putative  Pf3D7_14_v3:1170829-1175293(+)  1370",PF3D7_1429800,PF3D7_1429800
